iter,nth,x,iter_converged,error,time_1,time_2,result
106,25,88,27,1.2815e-06,0.002,0.002845,1.19613
107,621,182,28,1.3411e-06,0.003,0.002795,1.00841
108,717,447,29,1.65775e-06,0.002,0.002938,1.00855
109,193,683,30,1.26846e-06,0.003,0.00305,1.03439
110,654,434,29,1.60933e-06,0.003,0.002882,1.00933
111,121,360,29,1.33365e-06,0.004,0.003067,1.04985
112,161,474,29,1.75834e-06,0.003,0.003118,1.03901
113,966,510,29,1.89245e-06,0.004,0.002895,1.00648
115,312,672,30,1.24797e-06,0.003,0.003052,1.02109
116,368,596,30,1.10641e-06,0.004,0.003046,1.01752
117,457,747,30,1.38767e-06,0.004,0.003011,1.01458
118,286,354,29,1.3113e-06,0.004,0.002947,1.02073
119,427,985,30,1.83098e-06,0.002,0.002874,1.01627
120,506,266,28,1.96695e-06,0.003,0.002849,1.0111
121,179,649,30,1.20513e-06,0.003,0.00302,1.03684
122,773,562,30,1.04308e-06,0.003,0.002961,1.00822
123,476,885,30,1.64472e-06,0.003,0.002851,1.01436
124,89,401,29,1.48639e-06,0.004,0.003055,1.06967
125,521,573,30,1.06357e-06,0.003,0.002916,1.01226
126,493,842,30,1.56462e-06,0.004,0.002956,1.01376
127,253,113,27,1.65403e-06,0.003,0.002963,1.01886
128,528,560,30,1.03936e-06,0.004,0.002934,1.01206
129,874,301,29,1.11386e-06,0.003,0.003106,1.00655
130,962,242,28,1.78814e-06,0.004,0.002888,1.00572
131,515,483,29,1.79186e-06,0.003,0.002892,1.01207
132,693,343,29,1.27032e-06,0.004,0.003004,1.00846
133,577,7,23,1.19209e-06,0.003,0.002536,1.00338
134,8,428,29,1.58697e-06,0.003,0.003028,2.1327
135,600,893,30,1.65962e-06,0.004,0.002969,1.01139
136,846,381,29,1.41189e-06,0.003,0.002934,1.00705
137,491,830,30,1.54227e-06,0.004,0.003044,1.01378
138,279,349,29,1.29268e-06,0.003,0.002928,1.02121
139,207,433,29,1.6056e-06,0.004,0.003089,1.02976
140,618,908,30,1.68756e-06,0.002,0.00289,1.01108
141,963,692,30,1.28523e-06,0.002,0.002835,1.00681
142,644,871,30,1.61864e-06,0.002,0.002789,1.01057
143,368,257,28,1.8999e-06,0.004,0.003042,1.01519
144,208,473,29,1.75461e-06,0.002,0.00295,1.03005
145,33,667,30,1.23866e-06,0.003,0.003045,1.21781
146,217,298,29,1.10269e-06,0.003,0.002872,1.0266
147,619,120,27,1.75834e-06,0.002,0.003004,1.00776
148,184,828,30,1.53854e-06,0.003,0.003033,1.03719
149,345,101,27,1.47521e-06,0.002,0.002835,1.01347
150,807,288,29,1.06543e-06,0.002,0.002834,1.00704
151,331,504,29,1.8701e-06,0.003,0.002873,1.01898
152,946,488,29,1.81049e-06,0.002,0.002877,1.00657
153,843,744,30,1.38208e-06,0.003,0.002982,1.00787
154,375,354,29,1.3113e-06,0.002,0.002941,1.01577
155,985,995,30,1.84961e-06,0.003,0.003,1.00703
156,435,220,28,1.62423e-06,0.002,0.002831,1.01248
157,597,605,30,1.12318e-06,0.003,0.002881,1.01079
158,278,155,28,1.13994e-06,0.004,0.002941,1.01831
159,566,892,30,1.65775e-06,0.003,0.002892,1.01207
161,588,172,28,1.2666e-06,0.004,0.002857,1.00879
162,958,903,30,1.67824e-06,0.003,0.002999,1.00713
163,756,213,28,1.57207e-06,0.003,0.002776,1.00712
164,283,80,27,1.16229e-06,0.003,0.002828,1.0156
165,838,892,30,1.65775e-06,0.002,0.002948,1.00814
166,966,377,29,1.39698e-06,0.003,0.002811,1.00616
167,801,508,29,1.885e-06,0.002,0.002837,1.00781
168,603,393,29,1.45659e-06,0.003,0.003038,1.00996
169,944,99,27,1.44541e-06,0.002,0.002859,1.00488
170,110,653,30,1.21258e-06,0.003,0.003253,1.06069
171,804,321,29,1.18837e-06,0.002,0.002958,1.0072
172,711,506,29,1.87755e-06,0.004,0.002914,1.0088
173,294,202,28,1.49012e-06,0.003,0.002959,1.01822
174,368,577,30,1.07102e-06,0.004,0.003046,1.01743
175,260,527,29,1.95578e-06,0.003,0.002928,1.0244
176,226,282,29,1.04308e-06,0.004,0.00294,1.02528
177,311,721,30,1.33924e-06,0.003,0.002869,1.02139
178,540,202,28,1.49012e-06,0.004,0.002911,1.00988
179,362,180,28,1.3262e-06,0.003,0.002837,1.01445
180,371,947,30,1.7602e-06,0.004,0.002941,1.01864
181,821,442,29,1.63913e-06,0.003,0.002951,1.00745
182,885,774,30,1.43796e-06,0.004,0.003039,1.00754
183,36,429,29,1.5907e-06,0.003,0.003058,1.18338
184,296,608,30,1.12876e-06,0.004,0.003061,1.02189
185,634,47,26,1.3411e-06,0.003,0.002892,1.00609
186,705,925,30,1.71922e-06,0.003,0.002965,1.00974
187,336,25,25,1.37091e-06,0.002,0.002828,1.00963
188,269,563,30,1.04494e-06,0.003,0.003016,1.02382
189,360,681,30,1.26474e-06,0.002,0.002921,1.01829
190,423,723,30,1.34297e-06,0.003,0.00302,1.01569
191,155,56,26,1.60933e-06,0.002,0.002852,1.02631
192,264,125,27,1.83284e-06,0.004,0.002849,1.01846
193,476,828,30,1.53854e-06,0.004,0.00311,1.01422
194,153,229,28,1.69128e-06,0.004,0.003073,1.03615
195,133,131,27,1.92225e-06,0.004,0.002843,1.03733
196,86,739,30,1.37277e-06,0.003,0.003075,1.07983
197,267,435,29,1.61305e-06,0.004,0.003006,1.02301
198,44,467,29,1.73226e-06,0.002,0.003037,1.14992
199,6,398,29,1.47521e-06,0.003,0.003124,2.71215
200,891,295,29,1.09151e-06,0.003,0.002842,1.0064
201,397,19,25,1.01328e-06,0.002,0.002931,1.00744
202,436,61,26,1.75834e-06,0.003,0.002876,1.00947
203,863,322,29,1.19209e-06,0.003,0.002874,1.00671
204,789,75,27,1.08778e-06,0.003,0.002802,1.00549
205,216,706,30,1.3113e-06,0.004,0.003128,1.03083
206,455,580,30,1.07661e-06,0.003,0.002889,1.01408
207,821,378,29,1.40071e-06,0.004,0.002929,1.00725
208,793,732,30,1.35973e-06,0.003,0.002917,1.00835
209,35,807,30,1.49943e-06,0.004,0.003026,1.21075
210,439,52,26,1.49012e-06,0.003,0.002674,1.00904
211,123,486,29,1.80304e-06,0.003,0.002971,1.05158
212,387,638,30,1.18464e-06,0.002,0.003082,1.01683
213,124,423,29,1.56835e-06,0.003,0.002843,1.04998
214,425,708,30,1.31503e-06,0.002,0.002963,1.01556
215,294,268,28,1.98185e-06,0.003,0.002928,1.0192
216,454,199,28,1.46776e-06,0.002,0.002832,1.01173
217,988,196,28,1.44541e-06,0.003,0.002897,1.00536
218,410,950,30,1.76579e-06,0.004,0.002897,1.01686
219,794,299,29,1.10641e-06,0.003,0.002879,1.00721
220,330,756,30,1.40443e-06,0.004,0.002948,1.02029
221,517,18,24,1.90735e-06,0.003,0.002671,1.00561
222,764,937,30,1.74157e-06,0.004,0.002939,1.009
223,457,133,27,1.95205e-06,0.003,0.002793,1.01076
224,387,443,29,1.64285e-06,0.003,0.002837,1.01587
225,591,961,30,1.78628e-06,0.003,0.002842,1.01169
226,964,276,29,1.02073e-06,0.003,0.002856,1.00585
227,700,255,28,1.885e-06,0.002,0.002941,1.00795
228,25,729,30,1.35414e-06,0.002,0.003252,1.30169
229,425,998,30,1.85519e-06,0.003,0.002921,1.01638
230,996,66,26,1.90735e-06,0.003,0.002668,1.00422
